lat,long,signal_strength
59.3040443,18.0953286,-77
59.3040443,18.0953286,-85
59.3040443,18.0953286,-90
59.3040443,18.0953286,-77
59.3040443,18.0953286,-82
59.3040443,18.0953286,-87
59.3040443,18.0953286,-84
59.3040443,18.0953286,-89
59.3040443,18.0953286,-89
59.3040443,18.0953286,-89
59.3040443,18.0953286,-87
59.3040443,18.0953286,-88
59.3040443,18.0953286,-90
59.3040443,18.0953286,-91
59.3040443,18.0953286,-91
59.3040443,18.0953286,-91
59.3040443,18.0953286,-91
59.3040443,18.0953286,-83
59.3040443,18.0953286,-83
59.3040443,18.0953286,-86
59.3040443,18.0953286,-90
59.3042173,18.0957868,-80
59.3042173,18.0957868,-75
59.3042173,18.0957868,-90
59.3042173,18.0957868,-83
59.3042173,18.0957868,-83
59.3042173,18.0957868,-86
59.3042173,18.0957868,-90
59.3042173,18.0957868,-80
59.3042173,18.0957868,-82
59.3042173,18.0957868,-83
59.3042173,18.0957868,-83
59.3042173,18.0957868,-85
59.3042173,18.0957868,-85
59.3042173,18.0957868,-90
59.3042173,18.0957868,-86
59.3042173,18.0957868,-87
59.3042173,18.0957868,-90
59.3042173,18.0957868,-92
59.3042492,18.095645,-84
59.3042492,18.095645,-66
59.3042492,18.095645,-84
59.3042492,18.095645,-80
59.3042492,18.095645,-82
59.3042492,18.095645,-83
59.3042492,18.095645,-83
59.3042492,18.095645,-85
59.3042492,18.095645,-85
59.3042492,18.095645,-92
59.3042492,18.095645,-86
59.3042492,18.095645,-87
59.3042492,18.095645,-90
59.3042492,18.095645,-92
59.3042492,18.095645,-82
59.3042492,18.095645,-83
59.3042492,18.095645,-84
59.3042492,18.095645,-85
59.3042492,18.095645,-86
59.3042492,18.095645,-86
59.3042492,18.095645,-87
59.3042492,18.095645,-89
59.30425,18.0956371,-84
59.30425,18.0956371,-71
59.30425,18.0956371,-84
59.30425,18.0956371,-85
59.30425,18.0956371,-87
59.30425,18.0956371,-91
59.30425,18.0956371,-88
59.30425,18.0956371,-84
59.30425,18.0956371,-85
59.30425,18.0956371,-83
59.30425,18.0956371,-84
59.30425,18.0956371,-85
59.30425,18.0956371,-86
59.30425,18.0956371,-86
59.30425,18.0956371,-87
59.30425,18.0956371,-89
59.30425,18.0956371,-84
59.30425,18.0956371,-86
59.30425,18.0956371,-91
59.30425,18.0956371,-87
59.30425,18.0956371,-89
59.3042402,18.0956368,-78
59.3042402,18.0956368,-73
59.3042402,18.0956368,-85
59.3042402,18.0956368,-87
59.3042402,18.0956368,-91
59.3042402,18.0956368,-88
59.3042402,18.0956368,-84
59.3042402,18.0956368,-89
59.3042402,18.0956368,-84
59.3042402,18.0956368,-86
59.3042402,18.0956368,-91
59.3042402,18.0956368,-87
59.3042402,18.0956368,-89
59.3042402,18.0956368,-86
59.3042402,18.0956368,-86
59.3042402,18.0956368,-88
59.3042402,18.0956368,-90
59.3042415,18.0956362,-78
59.3042415,18.0956362,-74
