,osm_id,name,type,coords
22,33034367,,,"[(18.0685849, 59.3483941), (18.0677231, 59.3485724), (18.0677606, 59.3486194), (18.0675961, 59.3486535), (18.0677084, 59.3487945), (18.0687347, 59.3485821), (18.0685849, 59.3483941)]"
23,33034512,,,"[(18.0685006, 59.3497094), (18.068372, 59.3498121), (18.0683305, 59.3498453), (18.0680387, 59.3500785), (18.0679873, 59.3500651), (18.0678781, 59.350143), (18.0680583, 59.3502138), (18.06818, 59.3501312), (18.0682651, 59.3501595), (18.0687195, 59.3497829), (18.0685006, 59.3497094)]"
24,33034582,,,"[(18.0678096, 59.3500051), (18.068119, 59.3497735), (18.0681605, 59.3497425), (18.0682955, 59.3496414), (18.0680503, 59.3495563), (18.0675645, 59.34992), (18.0678096, 59.3500051)]"
25,33034640,,,"[(18.0642291, 59.3493729), (18.0640204, 59.3494477), (18.0640445, 59.3494652), (18.0639757, 59.3494899), (18.0641132, 59.3495901), (18.0643179, 59.3497384), (18.0644001, 59.3497973), (18.0646775, 59.3496978), (18.0642291, 59.3493729)]"
26,33034718,,,"[(18.0647811, 59.3497043), (18.0647192, 59.3497851), (18.0646185, 59.3499164), (18.065081, 59.3500086), (18.0652974, 59.3497264), (18.0652275, 59.3497124), (18.0651904, 59.349705), (18.0651366, 59.3497752), (18.0647811, 59.3497043)]"
27,33034772,,,"[(18.0644696, 59.3488593), (18.0641134, 59.3490159), (18.0641549, 59.3490404), (18.063811, 59.3491915), (18.0639441, 59.3492702), (18.0642885, 59.3491189), (18.064265, 59.349105), (18.0646206, 59.3489487), (18.0644696, 59.3488593)]"
28,33034827,,,"[(18.0624929, 59.3492029), (18.0622916, 59.3492903), (18.0623813, 59.349344), (18.0624428, 59.3493809), (18.062329, 59.3494303), (18.0625363, 59.3495544), (18.0627337, 59.3494687), (18.0625847, 59.3493795), (18.0626336, 59.3493572), (18.0627024, 59.3493284), (18.0626753, 59.3493122), (18.0625365, 59.3492291), (18.0624929, 59.3492029)]"
29,33034937,,,"[(18.0635796, 59.3494922), (18.0626769, 59.3498759), (18.0627753, 59.3499361), (18.0636779, 59.3495523), (18.0635796, 59.3494922)]"
30,33035312,,,"[(18.0620094, 59.3482195), (18.0618083, 59.3481642), (18.0615752, 59.3484194), (18.0622939, 59.3485892), (18.0631685, 59.3482084), (18.0627303, 59.3479414), (18.0623856, 59.3480939), (18.0624952, 59.3481604), (18.0626915, 59.3480776), (18.0628901, 59.3481998), (18.062709, 59.3482735), (18.062672, 59.3482599), (18.062233, 59.3484501), (18.0620683, 59.348415), (18.0620915, 59.3483874), (18.0619723, 59.3483566), (18.0619383, 59.3483929), (18.0618637, 59.3483739), (18.0620094, 59.3482195)]"
31,33035707,,,"[(18.0644501, 59.3472564), (18.0643289, 59.3473691), (18.0645996, 59.3474385), (18.0643959, 59.3475328), (18.0642233, 59.3474337), (18.063836, 59.3474496), (18.0638777, 59.347502), (18.0640433, 59.3474973), (18.0642285, 59.3475995), (18.0634667, 59.3479503), (18.0632846, 59.3478437), (18.0639079, 59.3475764), (18.0637819, 59.3474963), (18.0630721, 59.3478067), (18.0629738, 59.3478514), (18.0633996, 59.3481027), (18.0649922, 59.3474135), (18.0649853, 59.3473888), (18.0644501, 59.3472564)]"
32,33035850,,,"[(18.0623689, 59.3468119), (18.062432, 59.3467511), (18.0614304, 59.3471926), (18.0620416, 59.3473475), (18.062205, 59.3471727), (18.0620275, 59.3471257), (18.0619654, 59.3471917), (18.0617776, 59.3471445), (18.0619297, 59.3469756), (18.0620407, 59.3470009), (18.0621307, 59.3469046), (18.0619935, 59.3468726), (18.06208, 59.3467755), (18.0623402, 59.3468422), (18.0623689, 59.3468119)]"
33,33035860,,,"[(18.063303, 59.3470422), (18.0623689, 59.3468119), (18.0623402, 59.3468422), (18.0622442, 59.3469434), (18.0631782, 59.3471737), (18.0632541, 59.3470937), (18.063303, 59.3470422)]"
34,33036298,,,"[(18.0695913, 59.3476008), (18.0694371, 59.3477003), (18.0693508, 59.3476672), (18.0689341, 59.3479395), (18.0689245, 59.347979), (18.06899, 59.3480151), (18.0691504, 59.3480753), (18.0696428, 59.3477423), (18.0697591, 59.3477862), (18.0698712, 59.3477121), (18.0695913, 59.3476008)]"
35,33036303,,,"[(18.0656509, 59.3499606), (18.0655479, 59.3501822), (18.065726, 59.3502038), (18.065829, 59.3499821), (18.0657778, 59.3499759), (18.0657031, 59.3499669), (18.0656509, 59.3499606)]"
36,33036309,THINGS,,"[(18.0677766, 59.3502981), (18.0675409, 59.3504746), (18.0673901, 59.3505876), (18.0676099, 59.3506639), (18.0679965, 59.3503745), (18.0677766, 59.3502981)]"
37,33036324,,university,"[(18.0691437, 59.3507635), (18.0694859, 59.3507954), (18.0695409, 59.3506421), (18.0694925, 59.3506376), (18.0696794, 59.3501024), (18.0695785, 59.3500939), (18.0695837, 59.3500819), (18.0695896, 59.3500675), (18.0695433, 59.3500633), (18.0694796, 59.3500434), (18.0693922, 59.3501126), (18.0692647, 59.3503927), (18.0691321, 59.3503807), (18.0690963, 59.3504837), (18.0690775, 59.350538), (18.0692197, 59.3505509), (18.0692108, 59.3505766), (18.0691437, 59.3507635)]"
38,33036331,,,"[(18.0696044, 59.3516236), (18.0713946, 59.3517993), (18.0714945, 59.3515347), (18.0697044, 59.351359), (18.069638, 59.3515387), (18.0696044, 59.3516236)]"
